IP_Member,Name_Pool ,Name_Monitor
192.168.3.62:9080,/Common/pool_o2o_app_9080,/Common/tcp
192.168.3.34:9081,/Common/pool_o2o_app_9081,/Common/tcp
192.168.3.35:9081,/Common/pool_o2o_app_9081,/Common/tcp
192.168.3.62:9081,/Common/pool_o2o_app_9081,/Common/tcp
192.168.3.34:9082,/Common/pool_o2o_app_9082,/Common/tcp
192.168.3.35:9082,/Common/pool_o2o_app_9082,/Common/tcp
192.168.3.62:9082,/Common/pool_o2o_app_9082,/Common/tcp
192.168.3.46:32303,/Common/pool_posp_32303,/Common/posp-tcp
192.168.3.47:32303,/Common/pool_posp_32303,/Common/posp-tcp
192.168.3.46:50034,/Common/pool_posp_50034,/Common/tcp
192.168.3.47:50034,/Common/pool_posp_50034,/Common/tcp
192.168.3.12:9080,/Common/pool_qybankpay_9080,/Common/tcp
192.168.3.13:9080,/Common/pool_qybankpay_9080,/Common/tcp
192.168.3.191:9080,/Common/pool_wap_app_9080,/Common/tcp
192.168.3.192:9080,/Common/pool_wap_app_9080,/Common/tcp
192.168.3.193:9080,/Common/pool_wap_app_9080,/Common/tcp
192.168.3.191:9081,/Common/pool_wap_app_9081,/Common/tcp
192.168.3.192:9081,/Common/pool_wap_app_9081,/Common/tcp
192.168.3.193:9081,/Common/pool_wap_app_9081,/Common/tcp
192.168.3.29:9080,/Common/pool_weixin_9080,/Common/tcp
192.168.3.30:9080,/Common/pool_weixin_9080,/Common/tcp
192.168.3.168:9080,/Common/pool_weixin_DongZhang_9080,/Common/tcp
192.168.3.169:9080,/Common/pool_weixin_DongZhang_9080,/Common/tcp
192.168.3.29:80,/Common/pool_weixin_HTTP,/Common/http
192.168.3.30:80,/Common/pool_weixin_HTTP,/Common/http
192.168.3.119:9080,/Common/pool_xdapp_9080,/Common/tcp
192.168.3.120:9080,/Common/pool_xdapp_9080,/Common/tcp
192.168.3.134:9080,/Common/pool_xxjs_9080,/Common/tcp
192.168.3.135:9080,/Common/pool_xxjs_9080,/Common/tcp
192.168.3.178:8080,/Common/pool_ysdapp1_8080,/Common/tcp
192.168.3.179:8080,/Common/pool_ysdapp1_8080,/Common/tcp
192.168.3.182:9080,/Common/pool_ysdapp2_9080,/Common/tcp
192.168.3.183:9080,/Common/pool_ysdapp2_9080,/Common/tcp
192.168.3.185:9080,/Common/pool_ysdapp3_9080,/Common/tcp
192.168.3.186:9080,/Common/pool_ysdapp3_9080,/Common/tcp
192.168.3.141:10000,/Common/pool_zfgaps_10000,/Common/tcp
192.168.3.142:10000,/Common/pool_zfgaps_10000,/Common/tcp
192.168.3.141:11212,/Common/pool_zfgaps_11212,/Common/agent_mon_tcp_10000
192.168.3.142:11212,/Common/pool_zfgaps_11212,/Common/agent_mon_tcp_10000
192.168.3.141:11213,/Common/pool_zfgaps_11213,/Common/tcp
192.168.3.142:11213,/Common/pool_zfgaps_11213,/Common/tcp
192.168.3.141:11216,/Common/pool_zfgaps_11216,/Common/agent_mon_tcp_10000
192.168.3.142:11216,/Common/pool_zfgaps_11216,/Common/agent_mon_tcp_10000
192.168.3.138:40001,/Common/pool_zfgxp_in_40001,/Common/agent_mon_tcp_10000
192.168.3.139:40001,/Common/pool_zfgxp_in_40001,/Common/agent_mon_tcp_10000
192.168.3.148:40001,/Common/pool_zfgxp_in_40001,/Common/agent_mon_tcp_10000
192.168.3.138:10000,/Common/pool_zfgxp_in_10000,/Common/tcp
192.168.3.139:10000,/Common/pool_zfgxp_in_10000,/Common/tcp
192.168.3.148:10000,/Common/pool_zfgxp_in_10000,/Common/tcp
192.168.3.138:50024,/Common/pool_zfgxp_in_50024,/Common/agent_mon_tcp_10000
192.168.3.139:50024,/Common/pool_zfgxp_in_50024,/Common/agent_mon_tcp_10000
192.168.3.148:50024,/Common/pool_zfgxp_in_50024,/Common/agent_mon_tcp_10000
192.168.3.138:50025,/Common/pool_zfgxp_in_50025,/Common/agent_mon_tcp_10000
192.168.3.139:50025,/Common/pool_zfgxp_in_50025,/Common/agent_mon_tcp_10000
192.168.3.148:50025,/Common/pool_zfgxp_in_50025,/Common/agent_mon_tcp_10000
192.168.3.138:50026,/Common/pool_zfgxp_in_50026,/Common/agent_mon_tcp_10000
192.168.3.139:50026,/Common/pool_zfgxp_in_50026,/Common/agent_mon_tcp_10000
192.168.3.148:50026,/Common/pool_zfgxp_in_50026,/Common/agent_mon_tcp_10000
192.168.3.138:50031,/Common/pool_zfgxp_in_50031,/Common/agent_mon_tcp_10000
192.168.3.139:50031,/Common/pool_zfgxp_in_50031,/Common/agent_mon_tcp_10000
192.168.3.148:50031,/Common/pool_zfgxp_in_50031,/Common/agent_mon_tcp_10000
192.168.3.138:50032,/Common/pool_zfgxp_in_50032,/Common/agent_mon_tcp_10000
192.168.3.139:50032,/Common/pool_zfgxp_in_50032,/Common/agent_mon_tcp_10000
192.168.3.148:50032,/Common/pool_zfgxp_in_50032,/Common/agent_mon_tcp_10000
192.168.3.138:50033,/Common/pool_zfgxp_in_50033,/Common/agent_mon_tcp_10000
192.168.3.139:50033,/Common/pool_zfgxp_in_50033,/Common/agent_mon_tcp_10000
192.168.3.148:50033,/Common/pool_zfgxp_in_50033,/Common/agent_mon_tcp_10000
192.168.3.138:50034,/Common/pool_zfgxp_in_50034,/Common/agent_mon_tcp_10000
192.168.3.139:50034,/Common/pool_zfgxp_in_50034,/Common/agent_mon_tcp_10000
192.168.3.148:50034,/Common/pool_zfgxp_in_50034,/Common/agent_mon_tcp_10000
192.168.3.138:50061,/Common/pool_zfgxp_in_50061,/Common/agent_mon_tcp_10000
192.168.3.139:50061,/Common/pool_zfgxp_in_50061,/Common/agent_mon_tcp_10000
192.168.3.148:50061,/Common/pool_zfgxp_in_50061,/Common/agent_mon_tcp_10000
192.168.3.138:50062,/Common/pool_zfgxp_in_50062,/Common/agent_mon_tcp_10000
192.168.3.139:50062,/Common/pool_zfgxp_in_50062,/Common/agent_mon_tcp_10000
192.168.3.148:50062,/Common/pool_zfgxp_in_50062,/Common/agent_mon_tcp_10000
192.168.3.138:50063,/Common/pool_zfgxp_in_50063,/Common/agent_mon_tcp_10000
192.168.3.139:50063,/Common/pool_zfgxp_in_50063,/Common/agent_mon_tcp_10000
192.168.3.148:50063,/Common/pool_zfgxp_in_50063,/Common/agent_mon_tcp_10000
192.168.3.209:9080,/Common/pool_zjca_9080,/Common/tcp
192.168.3.210:9080,/Common/pool_zjca_9080,/Common/tcp
192.168.3.216:8023,/Common/pool_zngt_8023,/Common/tcp
192.168.3.217:8023,/Common/pool_zngt_8023,/Common/tcp
192.168.3.216:8923,/Common/pool_zngt_8923,/Common/tcp
192.168.3.217:8923,/Common/pool_zngt_8923,/Common/tcp
192.168.3.216:9018,/Common/pool_zngt_9018,/Common/tcp
192.168.3.217:9018,/Common/pool_zngt_9018,/Common/tcp
192.168.3.216:9019,/Common/pool_zngt_9019,/Common/tcp
192.168.3.217:9019,/Common/pool_zngt_9019,/Common/tcp
192.168.3.216:9020,/Common/pool_zngt_9020,/Common/tcp
192.168.3.217:9020,/Common/pool_zngt_9020,/Common/tcp
192.168.3.216:9021,/Common/pool_zngt_9021,/Common/tcp
192.168.3.217:9021,/Common/pool_zngt_9021,/Common/tcp
192.168.3.216:9116,/Common/pool_zngt_9116,/Common/tcp
192.168.3.217:9116,/Common/pool_zngt_9116,/Common/tcp
192.168.3.95:8000,/Common/pool_znkf_8000,/Common/tcp
192.168.3.96:8000,/Common/pool_znkf_8000,/Common/tcp
192.168.3.219:1935,/Common/pool_zxkf_ihs_1935,/Common/tcp
192.168.3.220:1935,/Common/pool_zxkf_ihs_1935,/Common/tcp
192.168.3.219:7001,/Common/pool_zxkf_ihs_7001,/Common/tcp
192.168.3.220:7001,/Common/pool_zxkf_ihs_7001,/Common/tcp
192.168.3.219:7002,/Common/pool_zxkf_ihs_7002,/Common/tcp
192.168.3.220:7002,/Common/pool_zxkf_ihs_7002,/Common/tcp
192.168.3.219:7003,/Common/pool_zxkf_ihs_7003,/Common/tcp
192.168.3.220:7003,/Common/pool_zxkf_ihs_7003,/Common/tcp
192.168.3.219:9081,/Common/pool_zxkf_ihs_9081,/Common/tcp
192.168.3.220:9081,/Common/pool_zxkf_ihs_9081,/Common/tcp
192.168.3.127:9080,/Common/pool_zxmcm_9080,/Common/tcp
192.168.3.128:9080,/Common/pool_zxmcm_9080,/Common/tcp
